Grænamýri 22,HF-8-35,HF-8-36,,,,,
Grænamýri 24,HF-8-35,HF-8-36,,,,,
Grænamýri 26,HF-8-35,HF-8-36,,,,,
Grænamýri 28,HF-8-35,HF-8-36,,,,,
Hamarsgata 2,HF-9-1,,,,,,
Hamarsgata 4,HF-9-1,,,,,,
Hamarsgata 6,HF-9-1,,,,,,
Hamarsgata 8,HF-9-2,,,,,,
Hofgarðar 1,,,,,,,
Hofgarðar 2,,,,,,,
Hofgarðar 3,,,,,,,
Hofgarðar 4,,,,,,,
Hofgarðar 5,,,,,,,
Hofgarðar 6,HF-3-40,,,,,,
Hofgarðar 7,,,,,,,
Hofgarðar 8,,,,,,,
Hofgarðar 9,,,,,,,
Hofgarðar 10,,,,,,,
Hofgarðar 11,,,,,,,
Hofgarðar 12,,,,,,,
Hofgarðar 13,,,,,,,
Hofgarðar 15,,,,,,,
Hofgarðar 17,HF-3-41,HB-3-42,,,,,
Hofgarðar 18,,,,,,,
Hofgarðar 19,HF-3-41,HB-3-42,,,,,
Hofgarðar 20,,,,,,,
Hofgarðar 21,HF-3-41,HB-3-42,,,,,
Hofgarðar 22,,,,,,,
Hofgarðar 23,HF-3-41,HB-3-42,,,,,
Hofgarðar 24,,,,,,,
Hofgarðar 25,HF-3-41,HB-3-42,,,,,
Hofgarðar 26,,,,,,,
Hrólfsskálavör 12,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 1,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 2,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 3,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 4,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 5,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 6,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 7,HF-1-21,,,,,,
Hrólfsskálavör 8,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 9,HF-1-21,,,,,,
Hrólfsskálavör 10,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 11,HF-1-21,,,,,,
Hrólfsskálavör 13,HF-1-21,,,,,,
Hrólfsskálavör 14,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 15,HF-1-21,,,,,,
Kirkjubraut 1,HF-1-7,,,,,,
Kirkjubraut 3,HF-1-7,,,,,,
Kirkjubraut 4,HF-1-5,,,,,,
Kirkjubraut 5,HF-1-7,,,,,,
Kirkjubraut 6,HF-1-5,,,,,,
Kirkjubraut 7,HF-1-7,,,,,,
Kirkjubraut 8,HF-1-5,,,,,,
Kirkjubraut 9,HF-1-7,,,,,,
Kirkjubraut 10,HF-1-5,,,,,,
Kirkjubraut 11,HF-1-7,,,,,,
Kirkjubraut 12,HF-1-5,,,,,,
Kirkjubraut 13,HF-1-7,,,,,,
Kirkjubraut -Snjóbræðsla,,,,,,,
Kirkjubraut 14,HF-1-5,,,,,,
Kirkjubraut 15,,,,,,,
Kirkjubraut 16,HF-1-5,,,,,,
Kirkjubraut 17,,,,,,,
Kirkjubraut 18,HF-1-5,,,,,,
Kirkjubraut 21,,,,,,,
Kolbeinsmýri 1,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 2,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 3,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 4,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 5,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 6,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 7,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 8,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 9,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 10,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 11,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 12,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 14,HF-8-14,HB-8-13,,,,,
Lambastaðabraut 1,,,,,,,
Lambastaðabraut 2,HF-9-2,,,,,,
Lambastaðabraut 3,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 4,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 5,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 6,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 7,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 8,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 9,HF-9-13,HF-9-12,,,,,
Lambastaðabraut 10,HF-9-12,HF-9-13,HF-9-6,,,,
Lambastaðabraut 11,HF-9-13,HF-9-12,,,,,
Lambastaðabraut 12,HF-9-12,HF-9-13,HF-9-6,,,,
Lambastaðabraut 13,HF-9-13,HF-9-12,,,,,
Lambastaðabraut 14,HF-9-12,HF-9-13,HF-9-6,,,,
Lambastaðabraut 15,HF-9-12,,,,,,
Látraströnd 1,,,,,,,
Látraströnd 2,,,,,,,
Látraströnd 3,,,,,,,
Látraströnd 4,,,,,,,
Látraströnd 5,,,,,,,
Látraströnd 6,,,,,,,
Látraströnd 7,,,,,,,
Látraströnd 8,,,,,,,
Látraströnd 9,,,,,,,
Látraströnd 10,,,,,,,
Látraströnd 11,,,,,,,
Látraströnd 12,,,,,,,
Látraströnd 13,,,,,,,
Látraströnd 14,,,,,,,
Látraströnd 15,,,,,,,
Látraströnd 16,,,,,,,
Látraströnd 17,,,,,,,
Látraströnd 18,,,,,,,
Látraströnd 19,,,,,,,
Látraströnd 20,,,,,,,
Látraströnd 21,,,,,,,
Látraströnd 21 - sundlaug,,,,,,,
Látraströnd 22,,,,,,,
Látraströnd 24,,,,,,,
Látraströnd 26,,,,,,,
Látraströnd 28,,,,,,,
Látraströnd 30,,,,,,,
Látraströnd 32,,,,,,,
Látraströnd 34,,,,,,,
Látraströnd 36,,,,,,,
Látraströnd 38,,,,,,,
Látraströnd 40,,,,,,,
Látraströnd 42,,,,,,,
Látraströnd 44,,,,,,,
Látraströnd 46,,,,,,,
Látraströnd 48,,,,,,,
Látraströnd 50,,,,,,,
Látraströnd 52,,,,,,,
Látraströnd 54,,,,,,,
Látraströnd 56,,,,,,,
Látraströnd 58,,,,,,,
Lindarbraut 1,HF-2-18,HB-2-19,,,,,
Lindarbraut 2,,,,,,,
Lindarbraut 2A,,,,,,,
Lindarbraut 3,HF-2-18,HB-2-19,,,,,
Lindarbraut 4,,,,,,,
Lindarbraut 5,HF-2-18,HB-2-19,,,,,
Lindarbraut 6,,,,,,,
Lindarbraut 7,HF-2-18,HB-2-19,,,,,
Lindarbraut 8,,,,,,,
Lindarbraut 9,HF-2-18,HB-2-19,,,,,
Lindarbraut 10,,,,,,,
Lindarbraut 11,HF-2-18,HB-2-19,,,,,
Lindarbraut 12,,,,,,,
Lindarbraut 13,HF-2-18,HB-2-19,,,,,
Lindarbraut 14,,,,,,,
Lindarbraut 15,HF-3-6,,,,,,
Lindarbraut 15 A,,,,,,,
Lindarbraut 16,HF-3-5,,,,,,
Lindarbraut 17,HF-3-6,,,,,,
Lindarbraut 17a,,,,,,,
Lindarbraut 18,,,,,,,
Lindarbraut 19,,,,,,,
Lindarbraut 20,,,,,,,
Lindarbraut 21,,,,,,,
Lindarbraut 23,,,,,,,
Lindarbraut 24,,,,,,,
Lindarbraut 25,,,,,,,
Lindarbraut 26,,,,,,,
Lindarbraut 28,,,,,,,
Lindarbraut 29,HB-3-30,,,,,,
Lindarbraut 30,,,,,,,
Lindarbraut 31,,,,,,,
Lindarbraut 33,HF-3-32,,,,,,
Lindarbraut 35,HF-3-34,HF-3-35,HF-3-38,HB-3-39,,,
Lindarbraut 37,HF-3-34,HF-3-35,HF-3-38,HB-3-39,,,
Lindarbraut 39,HF-3-38,HB-3-39,,,,,
Lindarbraut 41,HF-3-38,HB-3-39,,,,,
Lindarbraut 43,HF-3-38,HB-3-39,,,,,
Lindarbraut 45,HF-3-38,HB-3-39,,,,,
Lindarbraut 47,HF-3-38,HB-3-39,,,,,
Melabraut 1,,,,,,,
Melabraut 2,,,,,,,
Melabraut 3,,,,,,,
Melabraut 4,,,,,,,
Melabraut 5,,,,,,,
Melabraut 6,,,,,,,
Melabraut 7,,,,,,,
Melabraut 8,,,,,,,
Melabraut 9,,,,,,,
Melabraut 10,,,,,,,
Melabraut 11,,,,,,,
Melabraut 12,,,,,,,
Melabraut 13,,,,,,,
Melabraut 14,,,,,,,
Melabraut 15,,,,,,,
Melabraut 16,,,,,,,
Melabraut 17,,,,,,,
Melabraut 18,,,,,,,
Melabraut 19,,,,,,,
Melabraut 20,,,,,,,
Melabraut 21,,,,,,,
Melabraut 22,,,,,,,
Melabraut 23,,,,,,,
Melabraut 24,,,,,,,
Melabraut 25,,,,,,,
Melabraut 26,,,,,,,
Melabraut 27,,,,,,,
Melabraut 28,,,,,,,
Melabraut 29,,,,,,,
Melabraut 30,,,,,,,
Melabraut 31,,,,,,,
Melabraut 32,,,,,,,
Melabraut 33,,,,,,,
Melabraut 34,,,,,,,
Melabraut 35,,,,,,,
Melabraut 36,,,,,,,
Melabraut 37,,,,,,,
Melabraut 38,,,,,,,
Melabraut 40,,,,,,,
Melabraut 44,HF-3-28,HB-3-29,,,,,
Melabraut 46,,,,,,,
Melabraut 50,,,,,,,
Melabraut 52,,,,,,,
Melabraut 54,,,,,,,
Melabraut 42,,,,,,,
Melabraut 48,,,,,,,
Melabraut 50,HF-3-22,HB-3-23,,,,,
Miðbraut 1,,,,,,,
Miðbraut 2,HF-2-22,HF-2-23,,,,,
Miðbraut 3,,,,,,,
Miðbraut 4,HF-2-22,HF-2-23,,,,,
Miðbraut 5,,,,,,,
Miðbraut 6,HF-2-22,HF-2-23,,,,,
Miðbraut 7,,,,,,,
Miðbraut 8,HF-2-22,HF-2-23,,,,,
Miðbraut 9,,,,,,,
Miðbraut 10,,,,,,,
Miðbraut 11,,,,,,,
Miðbraut 12,,,,,,,
Miðbraut 13,,,,,,,
Miðbraut 14,,,,,,,
Miðbraut 15,,,,,,,
Miðbraut 16,,,,,,,
Miðbraut 17,,,,,,,
Miðbraut 18,,,,,,,
Miðbraut 19,,,,,,,
Miðbraut 20,,,,,,,
Miðbraut 21,,,,,,,
Miðbraut 22,,,,,,,
Miðbraut 23,,,,,,,
Miðbraut 25a,,,,,,,
Miðbraut 25,,,,,,,
Miðbraut 26,,,,,,,
Miðbraut 27,,,,,,,
Miðbraut 28,,,,,,,
Miðbraut 29,,,,,,,
Miðbraut 30,,,,,,,
Miðbraut 31,,,,,,,
Miðbraut 32,,,,,,,
